txn_id,timestamp,status,amount_cents
t-1001,2026-01-03T09:12:00Z,captured,1500
t-1002,2026-01-05T14:03:00Z,captured,2200
t-1003,2026-01-07T11:45:00Z,failed,1800
t-1004,2026-01-09T08:30:00Z,captured,900
t-1005,2026-01-12T19:20:00Z,captured,3100
t-1006,2026-01-15T10:05:00Z,refunded,-1500
t-1007,2026-01-18T16:40:00Z,captured,2750
t-1008,2026-01-22T13:15:00Z,captured,640
t-1009,2026-01-25T07:55:00Z,failed,500
t-1010,2026-01-28T21:10:00Z,captured,1990
t-1011,2026-01-30T12:00:00Z,captured,1200
t-2001,2026-02-01T09:00:00Z,captured,1000
t-2002,2026-02-02T10:30:00Z,captured,2500
t-2003,2026-02-03T11:15:00Z,failed,9900
t-2004,2026-02-04T12:45:00Z,captured,1750
t-2005,2026-02-06T08:20:00Z,captured,800
t-2006,2026-02-08T14:10:00Z,refunded,-1000
t-2007,2026-02-10T15:35:00Z,captured,3300
t-2008,2026-02-11T16:05:00Z,captured,450
t-2009,2026-02-13T09:50:00Z,captured,2100
t-2010,2026-02-14T18:25:00Z,failed,1200
t-2011,2026-02-16T07:40:00Z,captured,1600
t-2012,2026-02-18T13:30:00Z,captured,990
t-2013,2026-02-20T19:00:00Z,refunded,-2500
t-2014,2026-02-22T10:10:00Z,captured,2800
t-2015,2026-02-24T11:55:00Z,captured,1350
t-2016,2026-02-25T20:15:00Z,captured,700
t-2017,2026-02-27T08:05:00Z,captured,1900
t-2018,2026-02-28T22:40:00Z,captured,2050
t-3001,2026-03-01T09:30:00Z,captured,5000
t-3002,2026-03-03T10:00:00Z,captured,4800
t-3003,2026-03-05T11:20:00Z,captured,6200
t-3004,2026-03-08T12:10:00Z,failed,3000
t-3005,2026-03-11T13:40:00Z,captured,5500
t-3006,2026-03-14T14:55:00Z,refunded,-4800
t-3007,2026-03-17T15:25:00Z,captured,7100
t-3008,2026-03-20T16:35:00Z,captured,4300
t-3009,2026-03-23T17:45:00Z,captured,5900
t-3010,2026-03-26T18:05:00Z,captured,6700
t-3011,2026-03-29T19:15:00Z,captured,5100
t-3012,2026-03-31T20:25:00Z,captured,4600
